inputs,targets
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Кошти отримає ТОВ «Фінансовий паблік рілейшинс», засновницями якого є львів'янка Світлана Іванишина та ТОВ «Юніон Капітал» Світлани Бойко, яка також є Державної установи «Агентство з розвитку інфраструктури фондового ринку України» (SMIDA).","Кошти отримає ТОВ «Фінансовий паблік рілейшинс», засновниками якого є львів'янин Юрій Іванишин та ТОВ «Юніон Капітал» Юрія Бойко, який також є Державної установи «Агентство з розвитку інфраструктури фондового ринку України» (SMIDA)."
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): фізкультурник",фізкультурниця
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): ведучий",ведуча
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Нагорі , прямо над ними , жив Шалва Шотович — грузинського роду , начальник цеху на Шевченка , самотній джигіт із купою зв’язків .","Нагорі , прямо над ними , жила Любов Шотович — грузинського роду , начальниця цеху на Шевченка , самотня джигітка із купою зв’язків .
"
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Після цього президентка Вікторія Янукович та уряд видали низку розпоряджень щодо забезпечення житлом цих пільгових категорій громадян.",Після цього президент Віктор Янукович та уряд видали низку розпоряджень щодо забезпечення житлом цих пільгових категорій громадян.
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): наглядачка",наглядач
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Варто зазначити , що можливість залишення відгуків про суддю чи суд є не доцільною , адже за результатами розгляду провадження сторони часто не можуть об’єктивно оцінювати роботу судді чи суду .","Варто зазначити , що можливість залишення відгуків про суддю чи суд є не доцільною , адже за результатами розгляду провадження сторони часто не можуть об’єктивно оцінювати роботу судді чи суду ."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Отож я - не поетеса , я триголова коза сучукрліту .","Отож я - не поет , я триголова коза сучукрліту ."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): «Конвіва» придбала ці ділянки у 2008 році, коли КМДА очолювала Чернівецька, а Супруренко була депутаткою Київради від блоку Черновецького.","«Конвіва» придбала ці ділянки у 2008 році, коли КМДА очолював Чернівецький, а Супруренко був депутатом Київради від блоку Черновецького."
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): маклер",маклерка
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Шишацька у 2009-2010 рр. працювала директоркою ТОВ «Фармація Донбасу».",Шишацький у 2009-2010 рр. працював директором ТОВ «Фармація Донбасу».
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): У відкритих джерелах з таким ПІБ згадується заступник директора державного підприємства «Центр археології Києва Інституту археології НАН України».",У відкритих джерелах з таким ПІБ згадується заступниця директора державного підприємства «Центр археології Києва Інституту археології НАН України».
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Окружний адмінсуд м. Києва заборонив Державній реєстраційній службі вчиняти будь-які реєстраційні дії щодо ділянок у заказнику «Жуків острів», де будується маєток екс-нардепа Юрія Іванющенка.","Окружний адмінсуд м. Києва заборонив Державній реєстраційній службі вчиняти будь-які реєстраційні дії щодо ділянок у заказнику «Жуків острів», де будується маєток екс-нардепки Марії Іванющенко."
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): конспіраторка",конспіратор
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Крім цього, слідча обіцяла вирішити з керівництвом Глибоцького відділу поліції питання щодо повернення раніше вилучених в обвинувачених речових доказів – мобільного телефону та автомобіля – до набрання вироком законної сили.","Крім цього, слідчий обіцяв вирішити з керівництвом Глибоцького відділу поліції питання щодо повернення раніше вилучених в обвинувачених речових доказів – мобільного телефону та автомобіля – до набрання вироком законної сили."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Олена Гевак також подала е-декларацію за 2016 рік у якості завідувачки господарства Західної філії «Українського державного центру радіочастот».",Іван Гевак також подав е-декларацію за 2016 рік у якості завідувача господарства Західної філії «Українського державного центру радіочастот».
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Директором санаторію є Володимир Борейко.",Директоркою санаторію є Володимира Борейко.
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Тетяна Дуброва є донькою Олександри Дуброваої, яка раніше разом із сестрою екс-нардепки Тетяни Хомутиннік Аліною входила до складу засновниць пенсійного фонду «Брокбізнесінвест».","Костянтин Дубров є сином Олександра Дуброва, який раніше разом із братом екс-нардепа Віталія Хомутинніка Юрієм входив до складу засновників пенсійного фонду «Брокбізнесінвест»."
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): абітурієнтка",абітурієнт
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): — Ми не австріяки , пані отаманко .
","— Ми не австріяки , пане отамане ."
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): ді-джейка",ді-джей
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): пресофіцер",пресофіцерка
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): добродійка",добродій
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): легкоатлетка",легкоатлет
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): відьма",відьмак
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Одна полонена хохолка-большевичка з увігнутою всередину пикою , ніби їй кінь наступив копитом на перенісся , пояснила , що це все через комісарок , котрі в паніці підперли панцерники своїми потягами з награбованим золотом .","Один полонений хохол-большевик з увігнутою всередину пикою , ніби йому кінь наступив копитом на перенісся , пояснив , що це все через комісарів , котрі в паніці підперли панцерники своїми потягами з награбованим золотом ."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): ФОП Кузнєцов А. С. і ТОВ «Інтєра» погодили свої тендерні пропозиції під час участі у процедурі відкритих торгів на закупівлю послуг та товарів для обслуговування заходів громадських організацій.",ФОП Кузнєцова А. С. і ТОВ «Інтєра» погодили свої тендерні пропозиції під час участі у процедурі відкритих торгів на закупівлю послуг та товарів для обслуговування заходів громадських організацій.
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Рейтинг очолив мільйонер, депутат від БПП Григорій Галкін, який не оприлюднив дані про внески до статутних фондів трьох підприємств загальним розміром 15,6 млн грн.","Рейтинг очолила мільйонерка, депутатка від БПП Марина Галкіна, яка не оприлюднила дані про внески до статутних фондів трьох підприємств загальним розміром 15,6 млн грн."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): За даними податківців, протягом 2015 року «Укрстрой» мав взаємовідносини з підприємствами, що мають ознаки фіктивності: ТОВ «БК «Олімпія», ТОВ «Укрбуд- Альянс», ТОВ «Колібріпром», ТОВ «Нью Сторі», ТОВ «Еліт-Промторг», ТОВ «Вілтіс- Трейдінг», ТОВ «Мюльтоне», ТОВ «БК «Інвест Груп», ТОВ «Укртехторг 2015», ТОВ «Аліот Груп» і ТОВ «Бруден».","За даними податківниць, протягом 2015 року «Укрстрой» мав взаємовідносини з підприємствами, що мають ознаки фіктивності: ТОВ «БК «Олімпія», ТОВ «Укрбуд- Альянс», ТОВ «Колібріпром», ТОВ «Нью Сторі», ТОВ «Еліт-Промторг», ТОВ «Вілтіс- Трейдінг», ТОВ «Мюльтоне», ТОВ «БК «Інвест Груп», ТОВ «Укртехторг 2015», ТОВ «Аліот Груп» і ТОВ «Бруден»."
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): слухач",слухачка
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Зінов працював директором департаменту матеріального забезпечення МВС за часів Віталія Захарченка.",Зінова працював директором департаменту матеріального забезпечення МВС за часів Віталія Захарченка.
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): феміністка",фемініст
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Наразі в місцевих музейних залах представлені унікальні експонати , пов'язані з дитячими роками і творчими здобутками Шевченка-художника .","Наразі в місцевих музейних залах представлені унікальні експонати , пов'язані з дитячими роками і творчими здобутками Шевченко-художниці ."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Тому спроба Рильської перекладати Міцкевич є подвигом ( при тому , що за саму польську барокову метафізичну поезію ніхто з українських перекладачок наразі не брався ) .","Тому спроба Рильського перекладати Міцкевича є подвигом ( при тому , що за саму польську барокову метафізичну поезію ніхто з українських перекладачів наразі не брався ) ."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Жовніри наскочили блискавично .",Жовнірки наскочили блискавично .
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Згідно з останніми даними SMIDA, власницями трьох рівних пакетів акцій «Кримзалізобетону» по 19,06% є Марта Веліжанська, народна депутатка минулого скликання від БЮТ, а також діючі народні депутатки Галина Сенченко й Людмила Денисова обидві від «Батьківщини».","Згідно з останніми даними SMIDA, власниками трьох рівних пакетів акцій «Кримзалізобетону» по 19,06% є Сергій Веліжанський, народний депутат минулого скликання від БЮТ, а також діючі народні депутати Андрій Сенченко й Людмила Денисова обидва від «Батьківщини»."
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): апологетка",апологет
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Черкаське територіальне відділення АМКУ оштрафувало підприємця Аллу Ворошилову та ТОВ «Уманська дорожньо-будівельна компанія» загалом на 68 тис. грн за спотворення результатів торгів Джулинської сільради щодо закупівлі ремонтних робіт на одній із доріг у селі.",Черкаське територіальне відділення АМКУ оштрафувало підприємця Григорія Ворошилова та ТОВ «Уманська дорожньо-будівельна компанія» загалом на 68 тис. грн за спотворення результатів торгів Джулинської сільради щодо закупівлі ремонтних робіт на одній із доріг у селі.
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): англієць",англійка
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Раніше Лариса вже займалася підприємництвом і була прописана в Донецьку, але після окупації міста в 2014 році вона припинила офіційну діяльність ФОПа.","Раніше Любач вже займався підприємництвом і був прописаний в Донецьку, але після окупації міста в 2014 році він припинив офіційну діяльність ФОПа."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Його звинуватили у приховуванні доходів та прав власності дружини в деклараціях та у скасуванні рішень Вищої ради юстиції по суддям, які виносили неправомірні рішення щодо учасників Революції Гідності.","Його звинуватили у приховуванні доходів та прав власності дружини в деклараціях та у скасуванні рішень Вищої ради юстиції по суддям, які виносили неправомірні рішення щодо учасників Революції Гідності."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): У Петропавлійській Борщагівці, що у передмісті Києва, колишній заступник начальника податкової міліції Міндоходів Анатолій Яковинець на вул. Авіаторів володіє 7 сотками землі та будинком у 500 кв м. Вони дісталися Яковинцю у подарунок у 2010 році.","У Петропавлійській Борщагівці, що у передмісті Києва, колишня заступниця начальниці податкової міліції Міндоходів Ольга Яковинець на вул. Авіаторів володіє 7 сотками землі та будинком у 500 кв м. Вони дісталися Яковинець у подарунок у 2010 році."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Шефиня чужих не брала , хоча й своїм не довіряла .
","Шеф чужих не брав , хоча й своїм не довіряв ."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): І коли насправді проповідується саме текст ( як і вимагається в нашій спільноті ) , тоді ми уникнемо завеликого наголосу на одній доктрині , яку особливо любить місцева пасторка .
","І коли насправді проповідується саме текст ( як і вимагається в нашій спільноті ) , тоді ми уникнемо завеликого наголосу на одній доктрині , яку особливо любить місцевий пастир ."
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): доглядачка",доглядач
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): дивачка",дивак
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): байкар",байкерка
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): провісник",провісниця
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Виставу за п'єсою російської класикині Марії Толстої поставили у столичному Театрі імені Франка . 28 квітня тут відбулася прем'єра спектаклю « Живий труп » у постановці режисерки Вікторії Мархоліі .",Виставу за п'єсою російського класика Льва Толстого поставили у столичному Театрі імені Франка . 28 квітня тут відбулася прем'єра спектаклю « Живий труп » у постановці режисера Романа Мархоліа .
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): У 2014 році директорка фірми «УПС» Ольга Палій внесла завідомо недостовірні відомості в акти виконаних робіт.",У 2014 році директор фірми «УПС» Тарас Палій вніс завідомо недостовірні відомості в акти виконаних робіт.
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Це, зокрема, «свободівки» Валентина Гутник (підприємства чоловіка ТОВ «Світ водних розваг» та ТОВ «ПП Волошин») та Валентина Рікота (фірма чоловіка ПП «Центр міжнародної співпраці»), депутатки від БПП Наталія Свіщова (фірма матері ПП «Перспективні технології захід») та Іванна Рудницька (компанія чоловіка ТОВ «Зоряний водопад»).","Це, зокрема, «свободівці» Андріян Гутник (підприємства дружини ТОВ «Світ водних розваг» та ТОВ «ПП Волошин») та Андрій Рікота (фірма дружини ПП «Центр міжнародної співпраці»), депутати від БПП Віталій Свіщов (фірма матері ПП «Перспективні технології захід») та Іван Рудницький (компанія дружини ТОВ «Зоряний водопад»)."
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): терорист",терористка
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Відповідно до законодавства, держава забезпечує суддів, які потребують поліпшення житлових умов, службовим житлом.","Відповідно до законодавства, держава забезпечує суддів, які потребують поліпшення житлових умов, службовим житлом."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Мати Ольга Сміяненко (_народна депутатка_ IV скликання) працювала у ПАТ «Арселорміттал Кривий Ріг», а також була директоркою ПрАТ «Макіївський металургійний завод».","Батько Ігор Сміяненко (_народний депутат_ IV скликання) працював у ПАТ «Арселорміттал Кривий Ріг», а також був директором ПрАТ «Макіївський металургійний завод»."
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): серцеїдка",серцеїд
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Серед депутатів, котрі забули задекларувати майно, депутати від «Самопомочі» – Олег Василишин, Андрій Дворакевич та Богданна Зубрицька, від «Народного контролю» – Валерій Веремчук та Віталій Свінціцький, від БПП – Роман Грицевич, від «Громадянської позиції» – Назар Палідович та від «Свободи» – Андрій Рікота.","Серед депутаток, котрі забули задекларувати майно, депутатки від «Самопомочі» – Оксана Василишина, Марія Дворакевич та Богданна Зубрицька, від «Народного контролю» – Валерія Веремчук та Віталія Свінціцька, від БПП – Іванна Грицевич, від «Громадянської позиції» – Анна Палідович та від «Свободи» – Марина Рікота."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): П’ятиденний марафон жіночого боксу зібрав у ФОК « Олімпія » двісті кращих спортсменів України у трьох вікових категоріях : юніори , молодь та дорослі .","П’ятиденний марафон жіночого боксу зібрав у ФОК « Олімпія » двісті кращих спортсменок України у трьох вікових категоріях : юніорки , молодь та дорослі ."
