original_sentence,orig_sent_id,changed_sentence,changed_sent_id,original_file_name,orig_ann,changed_ann
Про це на апаратній нараді повідомив заступник голови Кіровоградської облдержадміністрації Сергій Коваленко.,1,Про це на апаратній нараді повідомила заступниця голови Кіровоградської облдержадміністрації Оксана Коваленко.,1,e96b3ae1908b.txt,"{'T5': ('заступник голови', 'JOB')}","{'T5': ('заступниця голови', 'JOB')}"
"Статутний фонд фірми складає 20,5 тис грн, вона вже співпрацювала з Міноборони декілька років тому, отримавши майже 34 млн грн на реконструкцію казарм прикордонників в Бортничах Київської області.",6,"Статутний фонд фірми складає 20,5 тис грн, вона вже співпрацювала з Міноборони декілька років тому, отримавши майже 34 млн грн на реконструкцію казарми прикордонниць в Бортничах Київської області.",6,e96b3ae1908b.txt,"{'T22': ('прикордонників', 'JOB')}","{'T22': ('прикордонниць', 'JOB')}"
"Конкурентами ТОВ «Київ-Інстал» на конкурсі з добудови будинку в Кіровограді були ТОВ «Саланг», яким володіють Оксана Гупало та Ірина Сулім, ТОВ «Кіровограджилстрой» Олексія Бондаренка і Петра Ларжевського, та ПП «Камелот – 3000» колишнього керівника міської організації Партії регіонів Олександра Кокоши.",7,"Конкурентами ТОВ «Київ-Інстал» на конкурсі з добудови будинку в Кіровограді були ТОВ «Саланг», яким володіють Святослав Гупало та Ігор Сулім, ТОВ «Кіровограджилстрой» Галини Бондаренко і Петра Ларжевського, та ПП «Камелот – 3000» колишньої керівниці міської організації Партії регіонів Наталії Кокоши.",7,e96b3ae1908b.txt,"{'T34': ('керівника', 'JOB')}","{'T34': ('керівниці', 'JOB')}"
"ТОВ «Вісті» очолює Олексій Ковальчук, який є головним редактором обласної дніпропетровської газети «Вісті Придніпров'я».",14,"ТОВ «Вісті» очолює Любов Ковальчук, яка є головною редакторкою обласної дніпропетровської газети «Вісті Придніпров'я».",14,605667093f7b.txt,"{'T48': ('головним редактором', 'JOB')}","{'T48': ('головною редакторкою', 'JOB')}"
"> «Комунальники демонтують старі рейки на шпали, а на їхнє місце укладають > нові …",3,"> «Комунальниці демонтують старі рейки на шпали, а на їхнє місце укладають > нові …",3,c97bff36f45a.txt,"{'T7': ('Комунальники', 'JOB')}","{'T7': ('Комунальниці', 'JOB')}"
"> «Це все виконується силами «Запоріжелектротрансу», що мені дуже приємно» – > підкреслив міський голова Володимир Буряк.",7,"> «Це все виконується силами «Запоріжелектротрансу», що мені дуже приємно» – > підкреслила міська голова Валентина Буряк.",7,c97bff36f45a.txt,"{'T11': ('міський голова', 'JOB')}","{'T11': ('міська голова', 'JOB')}"
"Крім зазначеного, протоколом наради з питань оптимізації цін і тарифів на природний газ, електричну енергію та вугілля на 2011 рік під головуванням Першого віце – премʼєр – міністра України Клюєва А. П.",5,"Крім зазначеного, протоколом наради з питань оптимізації цін і тарифів на природний газ, електричну енергію та вугілля на 2011 рік під головуванням Першої віце – премʼєр – міністерки України Клюєвої А. П.",5,bbc5330abbdc.txt,"{'T25': (""Першого віце – премʼєр – міністра України"", 'JOB')}","{'T25': (""Першої віце – премʼєр – міністерки України"", 'JOB')}"
"Директором «Бізнес-центру НКСІУ» є Євген Дорошенко, радник президента Національного комітету спорту інвалідів Валерія Сушкевича, народного депутата від БЮТ-Б.",8,"Директоркою «Бізнес-центру НКСІУ» є Ірина Дорошенко, радниця президента Національного комітету спорту інвалідів Валерії Сушкевич, народної депутатки від БЮТ-Б.",8,2980d5c34788.txt,"{'T25': ('Директором', 'JOB'), 'T28': ('радник президента', 'JOB'), 'T31': ('народного депутата', 'JOB')}","{'T25': ('Директоркою', 'JOB'), 'T28': ('радниця президента', 'JOB'), 'T31': ('народної депутатки', 'JOB')}"
"Це історія про письменника, який створюючи детективний роман, потрапляє в світ своїх персонажів.",12,"Це історія про письменницю, яка створюючи детективний роман, потрапляє в світ своїх персонажів.",12,2980d5c34788.txt,"{'T38': ('письменника', 'JOB')}","{'T38': ('письменницю', 'JOB')}"
Про це свідчить електронна декларація судді у реєстрі НАЗК.,1,Про це свідчить електронна декларація судді у реєстрі НАЗК.,1,c49d24717658.txt,"{'T6': ('судді', 'JOB')}","{'T6': ('судді', 'JOB')}"
"Зазначається, що це спільна власність судді та її чоловіка Євгена Андреїшина.",3,"Зазначається, що це спільна власність судді та його дружини Олени Андреїшини.",3,c49d24717658.txt,"{'T9': ('судді', 'JOB')}","{'T9': ('судді', 'JOB')}"
"Також суддя має авто Volkswagen Tiguan 2009 року випуску, а її чоловік – Nissan Note 2010 р.в.",4,"Також суддя має авто Volkswagen Tiguan 2009 року випуску, а його дружина – Nissan Note 2010 р.в.",4,c49d24717658.txt,"{'T11': ('суддя', 'JOB')}","{'T11': ('суддя', 'JOB')}"
"Суддя повідомила, що у 2015 році продала квартиру деякій Наталії Імановій.",5,"Суддя повідомив, що у 2015 році продав квартиру деякому Артему Іманову.",5,c49d24717658.txt,"{'T16': ('Суддя', 'JOB')}","{'T16': ('Суддя', 'JOB')}"
Від продажу суддя Андреїшина отримала 779 тис грн. доходу.,6,Від продажу суддя Андреїшин отримав 779 тис грн. доходу.,6,c49d24717658.txt,"{'T19': ('суддя', 'JOB')}","{'T19': ('суддя', 'JOB')}"
"У реєстрі нерухомості є дані, що Наталія Іманова купила квартир у 26 листопада 2015 року, тобто за тиждень до того, як суддя придбала автомобіль.",7,"У реєстрі нерухомості є дані, що Ілля Іманов купив квартир у 26 листопада 2015 року, тобто за тиждень до того, як суддя придбав автомобіль.",7,c49d24717658.txt,"{'T24': ('суддя', 'JOB')}","{'T24': ('суддя', 'JOB')}"
"У 2014 році, коли суддя носила прізвище свого колишнього чоловіка – Гавриловська – квартиру на вулиці Голосіївській вона не декларувала.",9,"У 2014 році, коли суддя носив прізвище своєї колишньої дружини – Гавриловської – квартиру на вулиці Голосіївській він не декларував.",9,c49d24717658.txt,"{'T29': ('суддя', 'JOB')}","{'T29': ('суддя', 'JOB')}"
"Згідно з офіційними деклараціями про доходи, суддя має службову квартирою площею 90 кв. м. Ця квартира належить Госпсуду Києва і перебуває в користуванні судді з 2012 року.",10,"Згідно з офіційними деклараціями про доходи, суддя має службову квартирою площею 90 кв. м. Ця квартира належить Госпсуду Києва і перебуває в користуванні судді з 2012 року.",10,c49d24717658.txt,"{'T32': ('суддя', 'JOB'), 'T35': ('судді', 'JOB')}","{'T32': ('суддя', 'JOB'), 'T35': ('судді', 'JOB')}"
У службовій квартирі також прописаний син судді – Максим.,11,У службовій квартирі також прописана дочка судді – Лідія.,11,c49d24717658.txt,"{'T37': ('судді', 'JOB')}","{'T37': ('судді', 'JOB')}"
"Суддя Андреїшина офіційно має 20% у квартирі в Києві площею 67,5 кв. м., якою володіють її батьки та сестри.",12,"Суддя Андреїшин офіційно має 20% у квартирі в Києві площею 67,5 кв. м., якою володіють її батьки та брати.",12,c49d24717658.txt,"{'T39': ('Суддя', 'JOB')}","{'T39': ('Суддя', 'JOB')}"
У минулому році суддя Андреїшина отримала 187 тис грн. зарплати і 18 тис грн. аліментів на сина.,14,У минулому році суддя Андреїшин отримав 187 тис грн. зарплати і 18 тис грн. аліментів на доньку.,14,c49d24717658.txt,"{'T46': ('суддя', 'JOB')}","{'T46': ('суддя', 'JOB')}"
"У 2014 році суддя також декларувала цінні папери номінальною вартістю 0,52 млн грн.",15,"У 2014 році суддя також декларувала цінні папери номінальною вартістю 0,52 млн грн.",15,c49d24717658.txt,"{'T51': ('суддя', 'JOB')}","{'T51': ('суддя', 'JOB')}"
"У 2015 році суддя повідомила, що не має жодних грошових активів.",16,"У 2015 році суддя повідомив, що не має жодних грошових активів.",16,c49d24717658.txt,"{'T54': ('суддя', 'JOB')}","{'T54': ('суддя', 'JOB')}"
Чоловік судді за минулий рік офіційно заробив тільки 55 тис грн.,17,Дружина судді за минулий рік офіційно заробила тільки 55 тис грн.,17,c49d24717658.txt,"{'T55': ('судді', 'JOB')}","{'T55': ('судді', 'JOB')}"
"Він значиться директором ТОВ «Спіріт Бета», що спеціалізується на ресторанній діяльності і послугах мобільного харчування.",18,"Вона значиться директоркою ТОВ «Спіріт Бета», що спеціалізується на ресторанній діяльності і послугах мобільного харчування.",18,c49d24717658.txt,"{'T58': ('директором', 'JOB')}","{'T58': ('директоркою', 'JOB')}"
Раніше засновником цієї фірми значилась російська компанія «Кутузовська Плюс».,19,Раніше засновницею цієї фірми значилась російська компанія «Кутузовська Плюс».,19,c49d24717658.txt,"{'T60': ('засновником', 'JOB')}","{'T60': ('засновницею', 'JOB')}"
Суд надав слідчим доступ до документації фірми.,5,Суд надав слідчим доступ до документації фірми.,5,989b35bbc2b6.txt,"{'T19': ('слідчим', 'JOB')}","{'T19': ('слідчим', 'JOB')}"
З 2013 року засновником фірми є киянин Денис Сердюк.,7,З 2013 року засновницею фірми є киянка Людмила Сердюк.,7,989b35bbc2b6.txt,"{'T25': ('засновником', 'JOB')}","{'T25': ('засновницею', 'JOB')}"
"Директори компанії неодноразово змінювалися, і з квітня 2015 року керівником «Трейн Лідер Сервісу» є Зураб Месхі.",8,"Директорки компанії неодноразово змінювались, і з квітня 2015 року керівницею «Трейн Лідер Сервісу» є Ольга Месхі.",8,989b35bbc2b6.txt,"{'T27': ('Директори', 'JOB'), 'T29': ('керівником', 'JOB')}","{'T27': ('Директорки', 'JOB'), 'T29': ('керівницею', 'JOB')}"
"За версією слідчих Генпрокуратури, у 2011-2015 рр. невстановлені службові особи ДП «НАЕК «Енергоатому» за змовою з іншими особами, організували привласнення державних коштів та сприяння підконтрольним їм підприємствам в мінімізації податкових зобов'язань.",2,"За версією слідчих Генпрокуратури, у 2011-2015 рр. невстановлені службові особи ДП «НАЕК «Енергоатому» за змовою з іншими особами, організували привласнення державних коштів та сприяння підконтрольним їм підприємствам в мінімізації податкових зобов'язань.",2,8098d69d861f.txt,"{'T7': ('слідчих', 'JOB')}","{'T7': ('слідчих', 'JOB')}"
"Також слідчі ГПУ з'ясували, що тендерна документація «Кабельтехпостачу» містила неправдиві відомості щодо офісу фірми, складських приміщень і дилерських договорів із виробником ТОВ «Крок -ГТ».",5,"Також слідчі ГПУ з'ясували, що тендерна документація «Кабельтехпостачу» містила неправдиві відомості щодо офісу фірми, складських приміщень і дилерських договорів із виробником ТОВ «Крок -ГТ».",5,8098d69d861f.txt,"{'T17': ('слідчі', 'JOB')}","{'T17': ('слідчі', 'JOB')}"
"Відтак суд надав слідчому ГПУ доступ до договорів «Крок-ГТ» із фірмою «Кабельтехпостач», які є у розпорядженні заводу-виробника.",6,"Відтак суд надав слідчій ГПУ доступ до договорів «Крок-ГТ» із фірмою «Кабельтехпостач», які є у розпорядженні заводу-виробника.",6,8098d69d861f.txt,"{'T21': ('слідчому', 'JOB')}","{'T21': ('слідчій', 'JOB')}"
Однак слідчі Генпрокуратури лише через півтора роки вирішили перевірити договори «Кабельтехпостачу» з виробнико.,8,Однак слідчі Генпрокуратури лише через півтора роки вирішили перевірити договори «Кабельтехпостачу» з виробниць.,8,8098d69d861f.txt,"{'T27': ('слідчі', 'JOB')}","{'T27': ('слідчі', 'JOB')}"
"Крім спільного засновника, ці компанії також мають директором одну і ту ж особу – Потинге Василє Павлович.",16,"Крім спільної засновниці, ці компанії також мають директоркою одну і ту ж особу – Потінга Василина Павлівна.",16,8098d69d861f.txt,"{'T49': ('засновника', 'JOB'), 'T50': ('директором', 'JOB')}","{'T49': ('засновниці', 'JOB'), 'T50': ('директоркою', 'JOB')}"
"Компанія з орбіти нардепа від ОПЗЖ Вадима Столара розпочала будівництво житлового комплексу «Арсенал House» на ділянці по вул. Московській, 7 у Печерському районі.",0,"Компанія з орбіти нардепки від ОПЗЖ Ірини Столар розпочала будівництво житлового комплексу «Арсенал House» на ділянці по вул. Московській, 7 у Печерському районі.",0,9c264bd5a100.txt,"{'T1': ('нардепа', 'JOB')}","{'T1': ('нардепки', 'JOB')}"
"Будівництво відбувається на ділянці площею 0,33 га, яка з 2017 року належить ТОВ «Расмус», що пов'язане із нардепом Вадимом Столаром і головою правління ПАТ «ХК «Київміськбуд» Ігорем Кушніром.",2,"Будівництво відбувається на ділянці площею 0,33 га, яка з 2017 року належить ТОВ «Расмус», що пов'язане із нардепкою Валентиною Столаровою і головою правління ПАТ «ХК «Київміськбуд» Ігорем Кушніром.",2,9c264bd5a100.txt,"{'T10': ('нардепом', 'JOB'), 'T12': ('головою правління', 'JOB')}","{'T10': ('нардепкою', 'JOB'), 'T12': ('головою правління', 'JOB')}"
Підрядником забудови є ТОВ «Альфабуд Комплект».,5,Підрядницею забудови є ТОВ «Альфабуд Комплект».,5,9c264bd5a100.txt,"{'T20': ('Підрядником', 'JOB')}","{'T20': ('Підрядницею', 'JOB')}"
"Нагадаємо, у вересні 2019 року суд у рамках кримінального розслідування ДБР надав слідчим дозвіл на проведення обшуку у ДАБІ України та у столичному ДАБК для вилучення документів по ряду об'єктів будівництва, серед яких було і ЖК на вул Московській, 7.",8,"Нагадаємо, у вересні 2019 року суд у рамках кримінального розслідування ДБР надав слідчим дозвіл на проведення обшуку у ДАБІ України та у столичному ДАБК для вилучення документів по ряду об'єктів будівництва, серед яких було і ЖК на вул Московській, 7.",8,9c264bd5a100.txt,"{'T28': ('слідчим', 'JOB')}","{'T28': ('слідчим', 'JOB')}"
"Раніше замість Алли Борисівни Долгопят співзасновником компанії значився Євген Якович Фельдшеров, прописаний у Києві в одній квартирі з Борисом Яковичем Долгопятом.",14,"Раніше замість Алли Борисівни Долгопят співзасновницею компанії значилася Вікторія Яківна Фельдшерова, прописана у Києві в одній квартирі з Борисом Яковичем Долгопятом.",14,a56a7edf7859.txt,"{'T28': ('співзасновником', 'JOB')}","{'T28': ('співзасновницею', 'JOB')}"
"Євген Фельшеров був позаштатним радником Едуарда Ставицького, коли той очолював Міністерство енергетики та вугільної промисловості.",15,"Анастасія Фельшерова була позаштатною радницею Едуарда Ставицького, коли той очолював Міністерство енергетики та вугільної промисловості.",15,a56a7edf7859.txt,"{'T33': ('позаштатним радником', 'JOB')}","{'T33': ('позаштатною радницею', 'JOB')}"
За фактом зловживання службовим становищем посадовцями Мінприроди Генпрокуратура відкрила кримінальне провадження.,19,За фактом зловживання службовим становищем посадовицями Мінприроди Генпрокуратура відкрила кримінальне провадження.,19,a56a7edf7859.txt,"{'T43': ('посадовцями', 'JOB')}","{'T43': ('посадовицями', 'JOB')}"
Засновниками ТОВ «Бротрейд» є донеччанин Ілля Колосовський та киянин Ігор Проценко.,7,Засновницями ТОВ «Бротрейд» є донеччанка Тетяна Колосовська та киянка Світлана Проценко.,7,3e21f62b9a2f.txt,"{'T18': ('Засновниками', 'JOB')}","{'T18': ('Засновницями', 'JOB')}"
Керівником та засновником фірми є донеччанин Сергій Аверін.,11,Керівницею та засновницею фірми є донеччанка Ольга Аверіна.,11,3e21f62b9a2f.txt,"{'T28': ('Керівником', 'JOB'), 'T29': ('засновником', 'JOB')}","{'T28': ('Керівницею', 'JOB'), 'T29': ('засновницею', 'JOB')}"
"Фірма прописана в Києві, але її власником і директором є Максим Макаров з Вугледара Донецької обл. Макаров у якості власника якогось іншого бізнесу раніше не був відомий.",13,"Фірма прописана в Києві, але її власницею і директоркою є Наталія Макарова з Вугледара Донецької обл. Макарова у якості власниці якогось іншого бізнесу раніше не була відомою.",13,3e21f62b9a2f.txt,"{'T34': ('директором', 'JOB')}","{'T34': ('директоркою', 'JOB')}"
"У 2015 році заступником міністра енергетики та вуглепрому, який займається вугільною галуззю, став Ігор Мартиненков.",15,"У 2015 році заступницею міністра енергетики та вуглепрому, яка займається вугільною галуззю, стала Людмила Мартиненкова.",15,3e21f62b9a2f.txt,"{'T45': ('заступником міністра', 'JOB')}","{'T45': ('заступницею міністра', 'JOB')}"
"Крім них, у складі засновників раніше був Єгор Рокашевич.",7,"Крім них, у складі засновниць раніше була Марія Рокашевич.",7,a4eee55da896.txt,"{'T24': ('засновників', 'JOB')}","{'T24': ('засновниць', 'JOB')}"
"На виборах до парламенту він в 2014 р. був довіреною особою Сергія Близнюка, сина Анатолія Близнюка – екс-очільника Донецької області, а в 1996-1997 роках – мера Краматорська.",11,"На виборах до парламенту вона в 2014 р. була довіреною особою Ірини Близнюк, дочки Олександра Близнюка – екс-очільниці Донецької області, а в 1996-1997 роках – мера Краматорська.",11,a4eee55da896.txt,"{'T37': ('екс-очільника', 'JOB')}","{'T37': ('екс-очільниці', 'JOB')}"
"Масалітін також є директором ТОВ «Бек-офіс», співзасновником якого є Юрій Дерев'янко, а також працював юристом у ВАТ «Краматорський завод важкого верстатобудування» та КВП «Краматорський водоканал».",12,"Масалітіна також є директоркою ТОВ «Бек-офіс», співзасновницею якого є Юлія Дерев'янко, а також працювала юристкою у ВАТ «Краматорський завод важкого верстатобудування» та КВП «Краматорський водоканал».",12,a4eee55da896.txt,"{'T44': ('директором', 'JOB'), 'T46': ('співзасновником', 'JOB'), 'T48': ('юристом', 'JOB')}","{'T44': ('директоркою', 'JOB'), 'T46': ('співзасновницею', 'JOB'), 'T48': ('юристкою', 'JOB')}"
"Звіт АМКУ від 2 листопада про виконання рітейлерами його рекомендацій стосовно торгівельних надбавок свідчить про те, що Комітет закриє розслідування подорожчання продуктів на початку епідемії COVID-19 без штрафів для торгівельних мереж.",0,"Звіт АМКУ від 2 листопада про виконання рітейлерками її рекомендацій стосовно торгівельних надбавок свідчить про те, що Комітет закриє розслідування подорожчання продуктів на початку епідемії COVID-19 без штрафів для торгівельних мереж.",0,7e6a2bdcfd1c.txt,"{'T3': ('рітейлерами', 'JOB')}","{'T3': ('рітейлерками', 'JOB')}"
Зростання цін у рітейлерів відбувалось підозріло синхронно.,3,Зростання цін у рітейлерок відбувалось підозріло синхронно.,3,7e6a2bdcfd1c.txt,"{'T8': ('рітейлерів', 'JOB')}","{'T8': ('рітейлерок', 'JOB')}"
Ситуацією зацікавилось Київське відділення АМКУ та розпочало розслідування змови між постачальниками продуктів харчування та найбільшими мережами столичних продовольчих магазинів.,4,Ситуацією зацікавилось Київське відділення АМКУ та розпочало розслідування змови між постачальницями продуктів харчування та найбільшими мережами столичних продовольчих магазинів.,4,7e6a2bdcfd1c.txt,"{'T10': ('постачальниками', 'JOB')}","{'T10': ('постачальницями', 'JOB')}"
"Під час розслідування АМКУ мав з'ясувати причини стрімкого зростання ціни: чи пов'язано це лише з підвищенням попиту, чи все ж таки має місце цінова змова між операторами ринку.",6,"Під час розслідування АМКУ мала з'ясувати причини стрімкого зростання ціни: чи пов'язано це лише з підвищенням попиту, чи все ж таки має місце цінова змова між операторками ринку.",6,7e6a2bdcfd1c.txt,"{'T22': ('операторами', 'JOB')}","{'T22': ('операторками', 'JOB')}"
Через кілька днів після початку розслідування АМКУ надав «підозрюваним» рітейлерам рекомендації про необхідність збільшити коло потенційних постачальників продукції та переглянути рівні торговельної надбавки.,8,Через кілька днів після початку розслідування АМКУ надав «підозрюваним» рітейлеркам рекомендації про необхідність збільшити коло потенційних постачальниць продукції та переглянути рівні торговельної надбавки.,8,7e6a2bdcfd1c.txt,"{'T26': ('рітейлерам', 'JOB'), 'T27': ('постачальників', 'JOB')}","{'T26': ('рітейлеркам', 'JOB'), 'T27': ('постачальниць', 'JOB')}"
"2 листопада АМКУ відзвітував, що оператори ринку не тільки виконали рекомендації, а й зменшили націнки на окремі соціальні товари до 0%, тобто до собівартості.",9,"2 листопада АМКУ відзвітував, що операторки ринку не тільки виконали рекомендації, а й зменшили націнки на окремі соціальні товари до 0%, тобто до собівартості.",9,7e6a2bdcfd1c.txt,"{'T30': ('оператори', 'JOB')}","{'T30': ('операторки', 'JOB')}"
"«Отже, найближчим часом очікуємо, що справа проти рітейлерів буде закрита відомством.",11,"«Отже, найближчим часом очікуємо, що справа проти рітейлерок буде закрита відомством.",11,7e6a2bdcfd1c.txt,"{'T32': ('рітейлерів', 'JOB')}","{'T32': ('рітейлерок', 'JOB')}"
"Які все ж таки були причини різкого здорожчання продуктів харчування та чи змовились рітейлери, щоб заробити більше в період пандемії?",12,"Які все ж таки були причини різкого здорожчання продуктів харчування та чи змовились рітейлерки, щоб заробити більше в період пандемії?",12,7e6a2bdcfd1c.txt,"{'T33': ('рітейлери', 'JOB')}","{'T33': ('рітейлерки', 'JOB')}"
"За інформацією газети «Капітал», його купили структури тодішнього губернатора Донеччини Андрія Шишацького, який за часів Януковича очолював Донецьку ОДА.",10,"За інформацією газети «Капітал», її купили структури тодішньої губернаторки Донеччини Станіслави Шишацької, яка за часів Януковича очолювала Донецьку ОДА.",10,e0c4e3168c81.txt,"{'T30': ('губернатора', 'JOB')}","{'T30': ('губернаторки', 'JOB')}"
Шишацький у 2009-2010 рр. працював директором ТОВ «Фармація Донбасу».,12,Шишацька у 2009-2010 рр. працювала директоркою ТОВ «Фармація Донбасу».,12,e0c4e3168c81.txt,"{'T41': ('директором', 'JOB')}","{'T41': ('директоркою', 'JOB')}"
"Також Шишацький довгий час працював менеджером на підприємствах СКМ, зокрема очолював Харцизький трубний завод, що належить «Метінвесту».",14,"Також Шишацька довгий час працювала менеджеркою на підприємствах СКМ, зокрема очолювала Харцизький трубний завод, що належить «Метінвесту».",14,e0c4e3168c81.txt,"{'T47': ('менеджером', 'JOB')}","{'T47': ('менеджеркою', 'JOB')}"
