Оригінальне речення,Змінене речення,Анотації,Коректність речення,Виправлене речення,Помічник/ця
"А поки — їдьте , їдьте , чого ви так довго стоїте тут , до побачення , дайте ще раз обійму , не ображайте водія , їдьте чемно , до побачення , ще раз поцілую .","А поки — їдьте , їдьте , чого ви так довго стоїте тут , до побачення , дайте ще раз обійму , не ображайте водійку , їдьте чемно , до побачення , ще раз поцілую .",{'водія': 'JOB'},Правильне,,Оля Н
"Багато психологів вважають , що первинні реакції немовлят , які характеризують їх інтраіндивідуальний розвиток , є недиференційованими .","Багато психологинь вважають , що первинні реакції немовлят , які характеризують їх інтраіндивідуальний розвиток , є недиференційованими .",{'психологів': 'JOB'},Правильне,,
"Вивчаючи моторику сплячих і несплячих новонароджених , американські дослідники ( Т . Бразельтон ) визначили характеристики , якими вони різняться .","Вивчаючи моторику сплячих і несплячих новонароджених, американські дослідниці ( Т. Бразельтон ) визначили характеристики, якими вони різняться.","{'дослідники': 'JOB', 'Т . Бразельтон': 'PERS'}",Правильне,,
"Американські психологи ( Г . Шаффер , П . Емерсон ) , вивчаючи реакції 37 новонароджених на фізичний контакт , виокремили немовлят , які прагнуть обіймів , одержують задоволення від близького фізичного контакту , і тих , що уникають обіймів , опираються контакту , виявляючи фізичне напруження .","Американські психологині ( Г . Шаффер , П . Емерсон ) , вивчаючи реакції 37 новонароджених на фізичний контакт , виокремили немовлят , які прагнуть обіймів , одержують задоволення від близького фізичного контакту , і тих , що уникають обіймів , опираються контакту , виявляючи фізичне напруження .","{'психологи': 'JOB', 'Г . Шаффер': 'PERS', 'П . Емерсон': 'PERS'}",Правильне,,
"Американські психологи ( Д . Кембелл і Д . Фіське ) за допомогою факторного аналізу виявили міжіндивідуальну стійкість незалежних показників графомоторики ( розмір , натиск , незграбність , протяжність ) при виконанні різних завдань ( копіювання , писання , малювання ) .","Американські психологині ( Д . Кембелл і Д . Фіське ) за допомогою факторного аналізу виявили міжіндивідуальну стійкість незалежних показників графомоторики ( розмір , натиск , незграбність , протяжність ) при виконанні різних завдань ( копіювання , писання , малювання ) .","{'психологи': 'JOB', 'Д . Кембелл': 'PERS', 'Д . Фіське': 'PERS'}",Правильне,,
"Американський психолог С . Стівенс зафіксував , що гіперкінетичні ( надрухливі ) діти завжди проявляють тенденцію працювати зі швидкістю , наближеною до можливої для них максимальної величини , і не здатні адаптуватися до зміни стимульної ситуації .","Американська психологиня С . Стівенс зафіксувала , що гіперкінетичні ( надрухливі ) діти завжди проявляють тенденцію працювати зі швидкістю , наближеною до можливої для них максимальної величини , і не здатні адаптуватися до зміни стимульної ситуації .","{'психолог': 'JOB', 'С . Стівенс': 'PERS'}",Правильне,,
"Психомоторні стилі є предметом досліджень психологів , спрямованих на вивчення багатогранних виявів індивідуальних особливостей .","Психомоторні стилі є предметом досліджень психологинь, спрямованих на вивчення багатогранних виявів індивідуальних особливостей.",{'психологів': 'JOB'},Правильне,,
"Ще один науковець стояв біля панелі екстреного вимкнення детонатора на випадок , якщо надійде така команда .","Ще одна науковиця стояла біля панелі екстреного вимкнення детонатора на випадок, якщо надійде така команда.",{'науковець': 'JOB'},Правильне,,
"Цю прогалину , життєпис відомого колись на всю округу фотографа , заповнив краєзнавець і тележурналіст Василь Нагірний .","Цю прогалину, життєпис відомої колись на всю округу фотографки, заповнила краєзнавиця і тележурналістка Олександра Нагірна.","{'фотографа': 'JOB', 'тележурналіст': 'JOB', 'Василь Нагірний': 'PERS'}",Правильне,,
"« Такі змагання проводяться в Чернівцях вперше » , – розповів голова Чернівецького осередку бойового гопака Іван Підгорський .","« Такі змагання проводяться в Чернівцях вперше » , – розповіла голова Чернівецького осередку бойового гопака Валентина Підгорська .","{'голова': 'JOB', 'Іван Підгорський': 'PERS'}",Правильне,,
"Як розповів голова Хмельницької обласної федерації бойового гопака Іван Куць , окрім фізичного виховання , учні школи бойового гопака отримують ще й духовне виховання .","Як розповіла голова Хмельницької обласної федерації бойового гопака Оксана Куць, окрім фізичного виховання, учні школи бойового гопака отримують ще й духовне виховання.","{'голова': 'JOB', 'Іван Куць': 'PERS'}",Правильне,,Анна К.
"Як стверджують тренери , це традиція українського народу .","Як стверджують тренерки , це традиція українського народу .",{'тренери': 'JOB'},Правильне,,
"Аліна стоїть усередині однієї з веж художника Кіріко чи в Темній вежі Кінга , хто зна .","Микола стоїть усередині однієї з веж художниці Кіріко чи в Темній вежі Кінга , хто зна .","{'Аліна': 'PERS', 'художника': 'JOB', 'Кіріко': 'PERS', 'Кінга': 'PERS'}",Правильне,,
"– Нині в оборонному відомстві вже окреслені головні кроки щодо посилення обороноздатності нашої держави , – резюмує заступник Міністра оборони України Іван Руснак .","– Нині в оборонному відомстві вже окреслені головні кроки щодо посилення обороноздатності нашої держави , – резюмує заступниця Міністра оборони України Марія Руснак .","{'заступник': 'JOB', 'Іван Руснак': 'PERS'}",Правильне,,
"Після служби висипали на церковне подвір'я , стали з кошиками в коло , тоді вийшов священик , прочитав молитву і освятив те , що принесли люди .","Після служби висипали на церковне подвір'я , стали з кошиками в коло , тоді вийшла священиця , прочитала молитву і освятила те , що принесли люди .",{'священик': 'JOB'},Правильне,,
Дід Мартин відпустив свого поводиря разом з іншими додому — тобто до панотця .,Бабуся Мартина відпустила свою поводирку разом з іншими додому — тобто до панотця .,"{'Мартин': 'PERS', 'панотця': 'JOB'}",Правильне,,
"Може , тому і під храм підгадували кобзарі свої цехові збори — сходку , щоб менше на них звертали увагу , щоб менше впадала в око велика кількість мандрівних сліпців .","Може, тому і під храм підгадували кобзарки свої цехові збори — сходку, щоб менше на них звертали увагу, щоб менше впадала в око велика кількість мандрівних сліпців.",{'кобзарі': 'JOB'},Важко визначити,,
Таке пророцтво зробив американський священик Чарльз Лонг .,Таке пророцтво зробила американська священиця Тетяна Лонг.,"{'священик': 'JOB', 'Чарльз Лонг': 'PERS'}",Правильне,,
"Минув місяць , відколи мене призначено на посаду начальника управління музейної справи і нормативно-методичного забезпечення переміщення культурних цінностей Міністерства культури України .","Минув місяць , відколи мене призначено на посаду начальниці управління музейної справи і нормативно-методичного забезпечення переміщення культурних цінностей Міністерства культури України .",{'начальника': 'JOB'},Правильне,,
"Унаслідок зустрічей з музейниками , поїздок по областях , нарад із директорами національних закладів музейного типу , участі в засіданні колегії й музейної ради , після обміну досвідом із міністерствами культури Грузії й Польщі утвердився в думці , що головні проблеми галузі , якими треба займатися насамперед і вирішення яких автоматично закриє багато інших питань , – це менеджмент і комунікація .","Унаслідок зустрічей з музейницями , поїздок по областях , нарад із директорами національних закладів музейного типу , участі в засіданні колегії й музейної ради , після обміну досвідом із міністерствами культури Грузії й Польщі утвердилася в думці , що головні проблеми галузі , якими треба займатися насамперед і вирішення яких автоматично закриє багато інших питань , – це менеджмент і комунікація .",{'музейниками': 'JOB'},Містить помилки,"Унаслідок зустрічей з музейницями , поїздок по областях , нарад із директорками національних закладів музейного типу , участі в засіданні колегії й музейної ради , після обміну досвідом із міністерствами культури Грузії й Польщі утвердилася в думці , що головні проблеми галузі , якими треба займатися насамперед і вирішення яких автоматично закриє багато інших питань , – це менеджмент і комунікація .",
"А янголи Господні збираються десь там нагорі , як охоронці в супермаркетах , і регочуть із тебе , надриваючи животи біля своїх камер спостереження .","А янголи Господні збираються десь там нагорі , як охоронниці в супермаркетах , і регочуть із тебе , надриваючи животи біля своїх камер спостереження .","{'Господні': 'PERS', 'охоронці': 'JOB'}",Правильне,,Оля Н.
Ось так у людей з’являються янголи-охоронці .,Ось так у людей з’являються янголи-охоронниці.,{'охоронці': 'JOB'},Правильне,,
""" Але ж , – запитаєте ви , – в церкві сповідаються перед священиком .",""" Але ж , – запитаєте ви , – в церкві сповідаються перед священицею .",{'священиком': 'JOB'},Важко визначити,,
"До чиїх ніг нам падати ? "" Щоб таких питань не виникало , уважно дослухаймось до слів священика , якими він звертається до нас перед Сповіддю : "" Ось , чадо , Христос невидимо стоїть і приймає твою сповідь , а я тільки свідок , щоб свідчити перед Ним про все , що ти скажеш мені "" .","До чиїх ніг нам падати ? "" Щоб таких питань не виникало , уважно дослухаймось до слів священиці , якими вона звертається до нас перед Сповіддю : "" Ось , чадо , Христос невидимо стоїть і приймає твою сповідь , а я тільки свідок , щоб свідчити перед Ним про все , що ти скажеш мені "" .","{'священика': 'JOB', 'Христос': 'PERS'}",Важко визначити,,
"Отже , сповідаємося перед Богом у присутності священика .","Отже , сповідаємося перед Богом у присутності священиці .","{'священика': 'JOB', 'Богом': 'PERS'}",Важко визначити,,
"Укладанню Граматичного словника передувала багаторічна робота співробітників відділу структурно-математичної лінгвістики інституту мовознавства ім . О . О . Потебні над проблемами словозміни української мови і , зокрема , над визначенням засад формалізованого опису словозмінних ознак лексики для створення структурної граматики української мови , а також для комп’ютерного опрацювання текстової інформації .","Укладанню Граматичного словника передувала багаторічна робота співробітниць відділу структурно-математичної лінгвістики інституту мовознавства ім . О . О . Потебні над проблемами словозміни української мови і , зокрема , над визначенням засад формалізованого опису словозмінних ознак лексики для створення структурної граматики української мови , а також для комп’ютерного опрацювання текстової інформації .",{'співробітників': 'JOB'},Правильне,,
"Словник уклав авторський колектив Відділу структурно-математичної лінгвістики Інституту мовознавства ім . О . О . Потебні НАН України ( з 2011 р . — Відділ структурно-математичної лінгвістики Інституту української мови НАН України ) у складі канд . філол . наук В . І . Критської ( науковий керівник ) , канд . філол . наук Л . В . Орлової , мол . наук . співробітника Т . К . Пуздирєвої , канд . філол . наук Ю . В . Романюк , програміста Т . І . Недозим .","Словник уклав авторський колектив Відділу структурно-математичної лінгвістики Інституту мовознавства ім . О . О . Потебні НАН України ( з 2011 р . — Відділ структурно-математичної лінгвістики Інституту української мови НАН України ) у складі канд . філол . наук Євгенії Критської ( наукова керівниця ) , канд . філол . наук Сергія Орлова , мол . наук . співробітниці Тетяни Пуздирєвої , канд . філол . наук Ю . В . Романюк , програмістки Тетяни Недозим .","{'В . І . Критської': 'PERS', 'Т . К . Пуздирєвої': 'PERS', 'Л . В . Орлової': 'PERS', 'Т . І . Недозим': 'PERS', 'мол . наук . співробітника': 'JOB', 'Ю . В . Романюк': 'PERS', 'програміста': 'JOB'}",Містить помилки,"Словник уклав авторський колектив Відділу структурно-математичної лінгвістики Інституту мовознавства ім . О . О . Потебні НАН України ( з 2011 р . — Відділ структурно-математичної лінгвістики Інституту української мови НАН України ) у складі канд . філол . наук В . І . Критської ( науковий керівник ) , канд . філол . наук Л . В . Орлової , мол . наук . співробітниці Т . К . Пуздирєвої , канд . філол . наук Ю . В . Романюк , програмістки Т . І . Недозим .",
"Відповідальний редактор — доктор філологічних наук , чл . - кор .","Відповідальна редакторка — докторка філологічних наук , чл . - кор .",{'редактор': 'JOB'},Правильне,,
"У словоформах кра-єм , сто-ю , до-ять ті самі літери вжито замість буквосполучення йе , йу , йа . Для уніфікації представлення основи та флексії відділяємо формальні ( графічні ) флексії ь та й у формах кра-й , олен-ь , сті-й , кин-ь ( як один з показників нульової флексії і пом’якшення основи на відміну від джбан-0 , пекар-0 , вдар-0 , де нульова флексія вказує і на твердість кінцевого приголосного основи ) , син-ього — з пом’якшеним кінцевим приголосним на відміну від зелен-ого .","У словоформах кра-єм, сто-ю, до-ять ті самі літери вжито замість буквосполучення йе, йу, йа. Для уніфікації представлення основи та флексії відділяємо формальні (графічні) флексії ь та й у формах кра-й, олен-ь, сті-й, кин-ь (як один з показників нульової флексії і пом’якшення основи на відміну від джбан-0, пекар-0, вдар-0, де нульова флексія вказує і на твердість кінцевого приголосного основи), син-ього — з пом’якшеним кінцевим приголосним на відміну від зелен-ого.",{'пекар': 'JOB'},Важко визначити,,
"Розгублені українські журналісти й громадські діячі поверталися до Києва одним рейсом , звісно , говорячи лише про те , що буде після того , як « Беркут » розігнав студентів .","Розгублені українські журналістки й громадські діячі поверталися до Києва одним рейсом , звісно , говорячи лише про те , що буде після того , як « Беркут » розігнав студентів .",{'журналісти': 'JOB'},Правильне,,
"На семінарі викладачі-методисти Олександр Брензей , Тетяна Щербина , Катерина Дегтяр поділилися досвідом і продемонстрували добірки навчальних завдань із рисунка .","На семінарі викладачки-методистки Григорій Брензей, Світлана Щербина, Олена Дегтяр поділилися досвідом і продемонстрували добірки навчальних завдань із рисунка.","{'викладачі-методисти': 'JOB', 'Олександр Брензей': 'PERS', 'Тетяна Щербина': 'PERS', 'Катерина Дегтяр': 'PERS', 'викладачі': 'JOB'}",Містить помилки,"На семінарі викладачі-методисти Олександр Брензей , Тетяна Щербина , Катерина Дегтяр поділилися досвідом і продемонстрували добірки навчальних завдань із рисунка .",Оля Н.
Доцент кафедри образотворчого і декоративно-прикладного мистецтва та реставрації творів мистецтва К-ПНУ ім . Івана Огієнка Інна Березіна висвітлила значення рисунка в процесі підготовки до навчання у середніх спеціальних і вищих навчальних художніх закладах .,Доцентка кафедри образотворчого і декоративно-прикладного мистецтва та реставрації творів мистецтва К-ПНУ ім . Івана Огієнка Ірина Березіна висвітлила значення рисунка в процесі підготовки до навчання у середніх спеціальних і вищих навчальних художніх закладах .,"{'Доцент': 'JOB', 'Інна Березіна': 'PERS'}",Містить помилки,Доцентка кафедри образотворчого і декоративно-прикладного мистецтва та реставрації творів мистецтва К-ПНУ ім . Івана Огієнка Інна Березіна висвітлила значення рисунка в процесі підготовки до навчання у середніх спеціальних і вищих навчальних художніх закладах .,
Досвідом викладання рисунка поділилися викладачі дитячої школи мистецтв Валентина Лайтер і Галина Ярошевська та викладач НВК №9 Наталія Оцишена .,Досвідом викладання рисунка поділилися викладачки дитячої школи мистецтв Ірина Лайтер і Надія Ярошевська та викладач НВК №9 Артем Оцишен.,"{'викладачі': 'JOB', 'Валентина Лайтер': 'PERS', 'Галина Ярошевська': 'PERS', 'викладач': 'JOB', 'Наталія Оцишена': 'PERS'}",Містить помилки,Досвідом викладання рисунка поділилися викладачки дитячої школи мистецтв Валентина Лайтер і Галина Ярошевська та викладачка НВК №9 Наталія Оцишена .,
Риску в роботі семінару підвів викладач мистецьких дисциплін К-ПНУ ім . Івана Огієнка Олександр Віштаченко .,Риску в роботі семінару підвела викладачка мистецьких дисциплін К-ПНУ ім . Івана Огієнка Наталія Віштаченко .,"{'викладач': 'JOB', 'Олександр Віштаченко': 'PERS'}",Правильне,,
"Чаплі утворюють колонії , що можуть зберігатися десятиріччями . « Бони дуже консервативні у виборі місць гніздування , - каже Наталія Атамась , науковий співробітник Інституту зоології ім . Шмальгаузена . - На Київщині є гніздування птахів , відомі з 1920-х ; іще зоолог і природозахисник Микола Шарлемань згадував їх у своїх працях » .","Чаплі утворюють колонії , що можуть зберігатися десятиріччями . « Бони дуже консервативні у виборі місць гніздування , - каже Дмитро Атамась , наукова співробітниця Інституту зоології ім . Шмальгаузена . - На Київщині є гніздування птахів , відомі з 1920-х ; іще зоологиня і природозахисниця Марина Шарлемань згадувала їх у своїх працях » .","{'Наталія Атамась': 'PERS', 'науковий співробітник': 'JOB', 'зоолог': 'JOB', 'Микола Шарлемань': 'PERS', 'Атамась': 'PERS'}",Містить помилки,"Чаплі утворюють колонії , що можуть зберігатися десятиріччями . « Бони дуже консервативні у виборі місць гніздування , - каже Дмитро Атамась , науковий співробітник Інституту зоології ім . Шмальгаузена . - На Київщині є гніздування птахів , відомі з 1920-х ; іще зоологиня і природозахисниця Марина Шарлемань згадувала їх у своїх працях » .",
"Тут варто навести цитату Сергія Дорохова , координатора SCAE ( Speciality Coffee Association of Europe ) в Україні : « Є американо , є капучино .","Тут варто навести цитату Ірини Дорохової , координаторки SCAE ( Speciality Coffee Association of Europe ) в Україні : « Є американо , є капучино .","{'Сергія Дорохова': 'PERS', 'координатора': 'JOB'}",Правильне,,
"Міжнародний благодійний фонд « Покуття » , фундатором якого є народний депутат України Андрій Іванчук , висловлює своє невдоволення необдуманим рішенням міської влади стосовно звільнення тренерів , які багаторічною працею довели свою професійність на користь міста .","Міжнародний благодійний фонд «Покуття», фундаторкою якого є народна депутатка України Андріана Іванчук, висловлює своє невдоволення необдуманим рішенням міської влади стосовно звільнення тренерів, які багаторічною працею довели свою професійність на користь міста.","{'народний депутат': 'JOB', 'Андрій Іванчук': 'PERS'}",Правильне,,
"Коломийська влада в особі міського голови Ігоря Слюзара та начальника управління молоді та спорту Володимира Колесника перед проведенням так званої реформи наголошувала на забезпеченні робочими місцями всіх без винятку тренерів , включаючи збереження їхніх ставок та покращення умов праці .","Коломийська влада в особі міської голови Анастасії Слюзар та начальниці управління молоді та спорту Володимира Колесника перед проведенням так званої реформи наголошувала на забезпеченні робочими місцями всіх без винятку тренерів, включаючи збереження їхніх ставок та покращення умов праці.","{'міського голови': 'JOB', 'Ігоря Слюзара': 'PERS', 'начальника': 'JOB', 'Володимира Колесника': 'PERS'}",Містить помилки,"Коломийська влада в особі міської голови Анастасії Слюзар та начальниці управління молоді та спорту Олени Колесник перед проведенням так званої реформи наголошувала на забезпеченні робочими місцями всіх без винятку тренерів, включаючи збереження їхніх ставок та покращення умов праці.",
"Народний депутат України Андрій Іванчук , перебуваючи з візитом у Коломиї , порушив питання , на якій підставі були звільнені фахівці , вихованці яких досягають відмінних результатів на змаганнях різних рівнів та надалі привозять до Коломиї перемоги .","Народна депутатка України Марія Іванчук , перебуваючи з візитом у Коломиї , порушила питання , на якій підставі були звільнені фахівці , вихованці яких досягають відмінних результатів на змаганнях різних рівнів та надалі привозять до Коломиї перемоги .","{'Андрій Іванчук': 'PERS', 'Народний депутат': 'JOB'}",Правильне,,
"Львів ще від часів українських королів і князів став містом багатонаціональним , що було наслідком насамперед його геополітичного розташування і ключової ролі у міжнародній торгівлі .","Львів ще від часів українських королев і княгинь став містом багатонаціональним, що було наслідком насамперед його геополітичного розташування і ключової ролі у міжнародній торгівлі.","{'королів': 'JOB', 'князів': 'JOB'}",Правильне,,
"В цьому немає нічого дивного , якщо згадати , що політику домінування німців у Руському королівстві ініціював польський король Казимир III . За Зиморовичем , поляки певний час навіть зазнавали утисків від німців : « У ті часи німці посідали у Львові чільне місце , розподіляючи всі міські посади лише між своїми родичами , виключивши з ради поляків ; але постійним було перемішування тих двох народів між собою , як також і поєднання через спільні громадські обов'язки , так що і полякам відкрилася дорога і підхід до міської ради .","В цьому немає нічого дивного, якщо згадати, що політику домінування німок у Руському королівстві ініціювала польська королева Галина III. За Зиморовичем, поляки певний час навіть зазнавали утисків від німців: «У ті часи німці посідали у Львові чільне місце, розподіляючи всі міські посади лише між своїми родичами, виключивши з ради поляків; але постійним було перемішування тих двох народів між собою, як також і поєднання через спільні громадські обов'язки, так що і полякам відкрилася дорога і підхід до міської ради.","{'король': 'JOB', 'Казимир III': 'PERS', 'Зиморовичем': 'PERS'}",Містить помилки,"В цьому немає нічого дивного, якщо згадати, що політику домінування німців у Руському королівстві ініціювала польська королева Галина III. За Зиморовичем, поляки певний час навіть зазнавали утисків від німців: «У ті часи німці посідали у Львові чільне місце, розподіляючи всі міські посади лише між своїми родичами, виключивши з ради поляків; але постійним було перемішування тих двох народів між собою, як також і поєднання через спільні громадські обов'язки, так що і полякам відкрилася дорога і підхід до міської ради.",Тарас Я.
